company,address,profit,latitude,longitude,,,
Takeda Pharma A/S,Dybendal Alle 10 Taastrup,84.741454,55.663151,12.286355,,100,177.972181
Novo Nordisk A/S,novo alle 1 Bagsvaerd,47.615,55.754555,12.455185,,99,106.8739536
Hoejbjerg Maskinfabrik A/S,Oddervej 200 Hoejbjerg,44.552483,56.101378,10.206692,,98,156.4943173
Oersted Wind Power A/S,Kraftvaerksvej 53 Fredericia,28.469074,55.515935,9.623871,,97,108.2968427
Danske Bank A/S,Holmens Kanal 2 Koebenhavn,26.288,55.678496,12.585484,,96,110.8158981
Ball ApS,Kloevermarken 29 Billund,23.722228,55.723464,9.128516,,95,120.2160787
Lego A/S,Aastvej 1 Billund,19.732991,55.733219,9.122261,,94,194.6745491
A.P. Moeller og Hustru,Esplanaden 50 Koebenhavn,10.1364,55.68809,12.597707,,93,139.537861
Pandora A/S,Havneholmen 17 Koebenhavn,7.264265,55.660651,12.561623,,92,137.3466629
Lundbeck A/S,Ottiliavej 9 Valby,5.289,55.658051,12.516743,,91,139.2941796
Coloplast A/S,Holtedam 1 Humlebaek,3.797,55.965062,12.494715,,90,65.89412444
Augustinus Fonden,Sankt Annae Plads 13 Koebenhavn,5.762274,55.681932,12.590934,,89,185.1333012
Sund og Baelt Holding A/S,Vester Soegade 10 Koebenhavn,3.1125,55.67597,12.559293,,88,143.0376838
ISS World Services A/S,Buddingevej 197 Soeborg,2.176,55.751218,12.497248,,87,100.0570178
Bestseller A/S,Fredskovvej 5 Brande,2.17476,55.949837,9.145088,,86,66.13608019
Jysk Holding A/S,Soedalsparken 18 Brabrand,3.288311,56.15422,10.093572,,85,153.3708546
Siemens Gamesa Renewable Energy A/S,Borupvej 16 Brande,2.144026,55.955817,9.122486,,84,100.4602184
Danfoss Power Solutions Holding ApS,Nordborgvej 81 Nordborg,2.134204,55.0549024,9.7588571,,83,102.7047161
VKR Holding A/S,Breeltevej 18 Hoersholm,2.078,55.897529,12.484345,,82,87.79045205
Salling Group A/S,Salling Group Rosbjergvej Lyngby Aarhus Municipality Central Denmark Region 8220 Denmark,2.367,56.1611078,10.05700778,,81,134.5650938
Grundfos Holding A/S,Poul Due Jensens Vej 7 Bjerringbro,1.759,56.380773,9.669192,,80,102.8314003
Chr. Hansen A/S,Boege Alle 10 Hoersholm,1.710567,55.873438,12.488103,,79,100.082204
Radius Elnet A/S,Kraftvaerksvej 53 Fredericia,1.709162,55.515935,9.623871,,78,100.6928828
LEGO Fonden,Hoejmarksvej 8 Billund,1.697401,55.733948,9.121128,,77,105.2997231
Genmab A/S,Kalvebod Brygge 43 Koebenhavn,1.611971,55.665634,12.567677,,76,100.3717933
GN Store Nord A/S,Lautrupbjerg 7 Ballerup,1.606,55.738723,12.387155,,75,108.2572802
Aarhus Vand A/S,34 Gunnar Clausens Vej Aarhus,1.483503,56.108449,10.146058,,74,101.1249489
Nets Denmark A/S,Lautrupbjerg 10 Ballerup,1.467,55.74088,12.387224,,73,103.5066676
Koebenhavns Lufthavne A/S,Lufthavnsboulevarden 6 Kastrup,1.4173,55.629513,12.639366,,72,123.6736475
LEO Pharma A/S,Industriparken 55 Ballerup,1.146,55.726768,12.393723,,71,82.26045411
PFA DK Ejendomme Lav A/S,Sundkrogsgade 4 Koebenhavn,1.393136,55.708655,12.591288,,70,100.4143761
Ineos E&P A/S,Teknikerbyen 5 Virum,1.387387,55.800035,12.495474,,69,104.3762606
Thomas Cook Northern Europe A/S,Kay Fiskers Plads 9 Koebenhavn,1.329217,55.629304,12.58026,,68,100.3940332
Dades A/S,Lyngby Hovedgade 4 Kongens Lyngby,1.324,55.775355,12.49586,,67,103.4375
Lego Juris A/S,Koldingvej 2 Billund,1.28,55.724598,9.130554,,66,103.3750333
Oticon A/S,9 egedal kongebakken,1.23821,55.749182,12.294416,,65,115.4544759
Ejendomsselskabet Nordtyskland,Axeltorv 2 Koebenhavn,1.072466,55.675515,12.565704,,64,101.5958394
Royal Unibrew A/S,Faxe Alle 1 Faxe,1.05562,55.259938,12.11499,,63,100.199522
Stark Denmark A/S,Skanderborgvej 277 Viby J,1.053518,56.1231635,10.1518955,,62,105.4971751
Nissens Cooling Solutions A/S,Ormhoejgaardvej 9 Horsens,0.998622,55.843391,9.837108,,61,104.4738863
Aalborg Kloak A/S,Stigsborg Brygge 5 Noerresundby,0.955858,57.054409,9.935113,,60,107.1589686
Dupont Nutrition Biosciences ApS,Langebrogade 1 Koebenhavn,0.892,55.670896,12.581924,,59,101.8631129
Statens Ejendomssalg A/S,Gammel Kongevej 60  Frederiksberg,0.875685,55.6759585,12.5433837,,58,100
Equinor Refining Denmark A/S,Melbyvej 17 Kalundborg,0.875685,55.65493,11.103608,,57,106.1436364
Velux A/S,Aadalsvej 99 Hoersholm,0.825,55.898257,12.481045,,56,105.3639847
ATP-Ejendomme A/S,Gothersgade 49 Koebenhavn ,0.783,55.6826469,12.5804916,,55,102.2842169
Jeudan A/S,Bredgade 30 Koebenhavn,0.765514,55.683347,12.589654,,54,104.6652074
Linak A/S,Smedevaenget 8 6430,0.731393,54.994804,9.857047,,53,101.5289174
Gn Audio A/S,Lautrupbjerg 7 Ballerup,0.720379,55.738723,12.387155,,52,100.4993025
Scandinavian Tobacco Group A/S,Sydmarken 42 2860,0.7168,55.733454,12.475729,,51,100.1524363
Unomedical A/S,Aaholmvej 1 Lejre,0.715709,55.560193,11.954778,,50,100.8270901
Udviklingsselskabet By & Havn I/S,Nordre Toldbod 7 Koebenhavn ,0.709838,55.688614,12.598554,,49,101.0077466
Hofor Fjernvarme P/S,Oerestads Boulevard 35 Koebenhavn,0.702756,55.639857,12.584221,,48,100.1424997
Radiometer Medical ApS,Aakandevej 21 Broenshoej,0.701756,55.709896,12.484367,,47,112.2709005
Zealand Pharma A/S,Sydmarken 11 2860,0.625056,55.734253,12.483439,,46,102.5478815
Siemens A/S,Borupvang 9 Ballerup,0.609526,55.732466,12.379904,,45,100.2529655
Hjoerring Vandselskab A/,Aastrupvej 9 Hjoerring,0.607988,57.455049,9.97663,,44,106.0069464
Biomar Group A/S,Vaerkmestergade 25 Aarhus,0.573536,56.1494395,10.2059215,,43,101.433061
DSV Road Holding A/S,Hovedgaden 630 Hedehusene,0.565433,55.6474,12.163282,,42,101.142482
Arla Foods Ingredients Group P/S,Soenderhoej 10 Viby J,0.559046,56.1220185,10.1596948,,41,100.729009
Coop Danmark A/S,Roskildevej 65 Albertslund,0.555,55.66201,12.360786,,40,101.4500966
Interdan Bil A/S,Hovedvejen 1 Glostrup,0.547067,55.667398,12.417693,,39,101.4966605
DSB,Telegade 2 Taastrup,0.539,55.647522,12.27597,,38,100.7137785
Netcompany A/S,Groenningen 17 Koebenhavn K,0.53518,55.689618,12.590014,,37,101.0507633
Saint-Gobain Nordic A/S,Robert Jacobsens Vej 62 Koebenhavn S,0.529615,55.618418,12.572184,,36,108.3646728
Silkeborg Forsyning A/S,Tietgensvej 3 Silkeborg,0.488734,56.199565,9.577644,,35,101.5521626
Vejle Spildevand A/S,Toldbodvej 20 Vejle,0.481264,55.702059,9.538642,,34,50.55814569
Steen & Stroem Danmark A/S & Bruun'S Galleri A/S,Arne Jacobsens Allé 20 Koebenhavn S,0.951902,55.631225,12.577893,,33,106.5258262
Syd Energi Holding A/S & Andelsselskabet af 5. november,Edison Park 1 Esbjerg N,0.893588,55.510467,8.484418,,32,191.6476861
OK AmbA,Aahave Parkvej 11 Viby J,0.466266,56.132644,10.157896,,31,100.5219416
Vagn Esmann Christiansens Eftf. ApS,Tjaerebyvej 61 Roskilde,0.463845,55.6006047,12.1057399,,30,101.4967013
Rema 1000 Danmark A/S,Marsalle 32 Horsens,0.457005,55.836288,9.798884,,29,101.9124544
Park Street Nordicom A/S,Svanevej 12 2400 Koebenhavn,0.448429,55.700104,12.534926,,28,100.5646867
Bygma Gruppen A/S,Transformervej 12 2860,0.445911,55.731609,12.466225,,27,100.1493556
Widex A/S,Nymoellevej 6 Lynge,0.445246,55.8230181,12.3043325,,26,100.2075062
Kmk Holding Sdr. Felding ApS,Vardevej 140 Soender Felding,0.444324,55.9380628,8.7857736,,25,101.5711474
Roedovre Centrum Aktieselskabet,Roedovre Centrum 202 Roedovre,0.437451,55.680013,12.456494,,24,100.4860625
Wihlborgs A/S,Mileparken 22 2740,0.435335,55.716016,12.424532,,23,100.6678275
Interdan Holding A/S,Ryvangs Allé 54 Hellerup,0.432447,55.726312,12.569543,,22,100.0164209
Lauritzen Fonden,Tranegaardsvej 20 Hellerup,0.432376,55.740297,12.572487,,21,100.5291793
Coop A.m.b.a,Roskildevej 45 Albertslund,0.4301,55.662417,12.363504,,20,101.1650088
Ecco Holding A/S,Industrivej 5 Bredebro,0.425147,55.059453,8.826752,,19,102.7918279
Euro Cater Group A/S,Vidalsvej 6 Svenstrup J,0.4136,56.984255,9.857445,,18,100.6032302
AAK Group Treasury A/S,Slipvej 4 Aarhus C,0.41112,56.145366,10.213251,,17,100.9054294
Skandinavisk Motor Co. A/S,Park Allé 355 Broendby,0.407431,55.650783,12.381113,,16,100.1415738
Foss Analytical A/S,Nils Foss Alle 1 Hilleroed,0.406855,55.919727,12.275956,,15,101.0230052
Dan-Foam ApS,Holmelund 43 Aarup,0.402735,55.380618,10.058082,,14,100.3715943
Nine United A/S,Havnen 1 Horsens,0.401244,55.858832,9.859318,,13,102.0977099
Ambu A/S,Baltorpbakken 13 Ballerup,0.393,55.73152,12.335231,,12,101.7180779
Struers ApS,Pederstrupvej 84 Ballerup,0.386362,55.730211,12.329951,,11,100.4445577
West Pharmaceutical Services Danmark A/S,Fuglevangsvej 51 Horsens,0.384652,55.857744,9.815922,,10,#DIV/0!
